source	target	search_result
Die Freigabe„ %1“ konnte nicht ausgehängt werden. Detaillierte Informationen können nicht gegeben werden, da es keine Fehlermeldung gab.	"The share ""%1"" could not be unmounted. Detailed information cannot be provided because there was no error message."	The server %1 could not handle your request. Please try again now, or later if the problem persists.
Die Freigabe„ %1“ konnte nicht ausgehängt werden. Lesen Sie die Fehlermeldung unter„ Details“, um mehr herauszufinden.	"The share ""%1"" could not be unmounted. Read the error message under ""Details"" to find out more."	The server %1 could not handle your request. Please try again now, or later if the problem persists.
Die Datei„ %1“ konnte nicht gefunden werden.	"The file ""%1"" could not be found."	Cannot find file '%1 '.
Der Name Ihres Computers konnte mit Hilfe des Systemausrufs gethostname() nicht bestimmt werden. Detaillierte Informationen können nicht gegeben werden, da es keine Fehlermeldung gab.	The name of your computer could not be determined by using the gethostname() system call. Detailed information cannot be provided because there was no error message.	Unable to resolve hostname
Der Name Ihres Computer konnte mit Hilfe des Systemaufrufs gethostname() nicht bestimmt werden. Lesen Sie die Fehlermeldung unter„ Details“, um mehr herauszufinden.	"The name of your computer could not be determined by using the gethostname() system call. Read the error message under ""Details"" to find out more."	Authentication failed. Check your username and password. %1
Entweder ist Ihre PATH Umgebungsvariable nicht korrekt gesetzt, oder die folgenden Programme sind nicht installiert: %1 Bitte korrigieren Sie dies und starten Sie danach Smb4K erneut.	Either your PATH environment variable is not set properly or there are the following programs missing on your system: %1 Please correct this and restart Smb4K.	The executable %1 could not be found in your PATH. Check that this program exists and is accessible in your PATH variable.
Das Verzeichnis„ %1“ konnte nicht erzeugt werden.	"The directory ""%1"" could not be created."	Cannot find '%1 '.
Diese Freigabe konnte nicht ausgehängt werden, da der Eintrag für den Einhängepunkt leer war.	The share could not be unmounted, because the mount point string was empty.	No link field is available in the database for this entry.
Dieses Feature ist nicht eingeschaltet.	This feature has not been enabled.	Feature Not Implemented
Für Drucker können keine Lesezeichen angelegt werden.	Printers cannot be bookmarked.	Unable to configure print server.
Ein Fehler ist während der Syntaxanalyse der XML-Datei„ %1“ aufgetreten. Detaillierte Informationen können nicht gegeben werden, da es keine Fehlermeldung gab.	"An error occurred while parsing the XML file ""%1"". Detailed information cannot be provided because there was no error message."	"Error in XML data: ""%1"" in line %2, column %3. XML data:"
Ein Fehler ist während der Syntaxanalyse der XML-Datei„ %1“ aufgetreten. Lesen Sie die Fehlermeldung unter„ Details“, um mehr herauszufinden.	"An error occurred while parsing the XML file ""%1"". Read the error message under ""Details"" to find out more."	"Error in XML data: ""%1"" in line %2, column %3. XML data:"
Die Liste der eingehängten Freigaben konnte nicht importiert werden. Detaillierte Informationen können nicht gegeben werden, da es keine Fehlermeldung gab.	The list of mounted shares could not be imported. Detailed information cannot be provided because there was no error message.	No key imported. Please see the detailed log for more information.
Die Liste der eingehängten Freigaben konnte nicht importiert werden. Lesen Sie die Fehlermeldung unter„ Details“, um mehr herauszufinden.	"The list of mounted shares could not be imported. Read the error message under ""Details"" to find out more."	Sorry, certificate could not be imported. Reason: %1
Der Befehl„ %1“ konnte nicht gefunden werden.	"The command ""%1"" could not be found."	Cannot find '%1 '.
Die Datei„ %1“ konnte nicht gedruckt werden. Detaillierte Informationen können nicht gegeben werden, da es keine Fehlermeldung gab.	"The file ""%1"" could not be printed. Detailed information cannot be provided because there was no error message."	The server %1 could not handle your request. Please try again now, or later if the problem persists.
Die Datei„ %1“ konnte nicht gedruckt werden. Lesen Sie die Fehlermeldung unter„ Details“, um mehr herauszufinden.	"The file ""%1"" could not be printed. Read the error message under ""Details"" to find out more."	Unsupported file format found. The file format '%1 'is no longer supported, please convert to another one.
Das temporäre Verzeichnis„ %1“ konnte nicht angelegt werden. Detaillierte Informationen können nicht gegeben werden, da es keine Fehlermeldung gab.	The temporary file could not be created. Detailed information cannot be provided because there was no error message.	The server %1 could not handle your request. Please try again now, or later if the problem persists.
Das temporäre Verzeichnis„ %1“ konnte nicht angelegt werden. Lesen Sie die Fehlermeldung unter„ Details“, um mehr herauszufinden.	"The temporary file could not be created. Read the error message under ""Details"" to find out more."	"Your message could not be delivered: ""%1"", Reason: ""%2"""
Die Synchronisation konnte nicht erfolgreich durchgeführt werden. Detaillierte Informationen können nicht gegeben werden, da es keine Fehlermeldung gab.	The synchronization could not be finished successfully. Detailed information cannot be provided because there was no error message.	No connection could be created. The error message was: %1
Die Synchronisation konnte nicht erfolgreich durchgeführt werden. Lesen Sie die Fehlermeldung unter„ Details“, um mehr herauszufinden.	"The synchronization could not be finished successfully. Read the error message under ""Details"" to find out more."	Decoding failed. Please try again:
Die Suche konnte nicht erfolgreich durchgeführt werden. Detaillierte Informationen können nicht gegeben werden, da es keine Fehlermeldung gab.	The search could not be finished successfully. Detailed information cannot be provided because there was no error message.	Search Finished. No reports found.
Die Suche konnte nicht erfolgreich durchgeführt werden. Lesen Sie die Fehlermeldung unter„ Details“, um mehr herauszufinden.	"The search could not be finished successfully. Read the error message under ""Details"" to find out more."	Login Failed. Please try again.
Die Datei„ %1“ konnte nicht geöffnet werden.	"The file ""%1"" could not be opened."	Could not open file '%1 '
Die Datei„ %1“ konnte nicht geöffnet werden. Lesen Sie die Fehlermeldung unter„ Details“, um mehr herauszufinden.	"The file ""%1"" could not be opened. Read the error message under ""Details"" to find out more."	Cannot access file %1. Please check the path is correct.
Die Argumente für das„ net“ Kommando konnten nicht zusammengestellt werden.	"The list of arguments for the ""net"" command could not be assembled."	ERROR: No arguments supplied
Ein unbekannter Fehler ist aufgetreten. Detaillierte Informationen können nicht gegeben werden, da es keine Fehlermeldung gab.	An unknown error occurred. Detailed information cannot be provided because there was no error message.	Unknown error occurred.
Ein unbekannter Fehler ist aufgetreten. Lesen Sie die Fehlermeldung unter„ Details“, um mehr herauszufinden.	"An unknown error occurred. Read the error message under ""Details"" to find out more."	Article could not be retrieved. The following error occurred:
Der Prozess konnte nicht gestartet werden (Fehlerkennzahl: %1).	The process failed to start (error code: %1).	Could not start process %1.
Der Prozess ist abgestürzt (Fehlerkennzahl: %1).	The process crashed (error code: %1).	The process '%1 'crashed.
Der Process brauchte zu lange (Fehlerkennzahl: %1).	The process timed out (error code: %1).	The process '%1 'crashed.
In den Prozess konnte nicht geschrieben werden (Fehlerkennzahl: %1).	Could not write to the process (error code: %1).	Was not able to write data to the %1 process.
Der Prozess konnte nicht ausgelesen werden (Fehlerkennzahl: %1).	Could not read from the process (error code: %1).	Was not able to read data from the %1 process.
Der Prozess hat einen unbekannten Fehler zurückgegeben.	The process reported an unknown error.	Unknown process error.
Der Prozess wurde unerwartet beendet.	The process exited unexpectedly.	The operation was unexpectedly aborted.
Der Mimetype„ %1“ wird nicht unterstützt. Bitte wandeln Sie die Datei in PostScript oder PDF um.	"The mimetype ""%1"" is not supported. Please convert the file to PostScript or PDF."	Unsupported file format found. The file format '%1 'is no longer supported, please convert to another one.
Sie haben Smb4K so eingerichtet, dass„ %1“ benutzt werden soll. Es fehlt allerdings nun auf Ihrem Rechner. Die entsprechende Eigenschaft wird deshalb jetzt abgeschaltet.	"You previously chose to use ""%1"", but now it is missing on your system. Smb4K will disable this feature."	%1 is a bitmap font, and these have been disabled on your system.
Die Bezeichnung„ %1“ wird mehrfach benutzt. Sie wird für das Lesezeichen„ %2“ automatisch umbenannt, um Verwechslungen zu vermeiden.	"The label ""%1"" is used more than once. It will automatically be renamed for bookmark ""%2"" to avoid confusion."	"Renaming ""%1"" to ""%2"""
Die digitale Brieftasche„ %1“ konnte nicht geöffnet werden. Die Unterstützung für KWallet wird ausgeschaltet.	"The wallet ""%1"" could not be opened. KWallet support will be disabled for this session."	Unable to force the wallet closed. Error code was %1.
Benutzer angeben	Specify User	Add User
Lösche Liste	Clear List	Loose
Bitte geben Sie einen Benutzernamen an.	Please specify a user name.	Username:
Wollen Sie wirklich das Aushängen dieser Freigabe erzwingen?	Do you really want to force the unmounting of this share?	Do you really want to remove that template?
Bitte geben Sie die Authentifizierung für die Freigabe %1 ein.	Please enter a username and a password below.	Please enter authentication information for %1
Datei drucken	Print File	File printer
Kopien:	Copies:	Copies:
Die Datei sudoers ist irregulär.	The sudoers file is irregular.	Invalid Byteorder.
Benutzerdefinierte Einstellungen	& Custom Options	User settings
Freigabe:	Share	Issuer:
Versuche eine Anmeldung mit Kerberos (Active Directory)	Try to authenticate with Kerberos (Active Directory)	may be set to a Kerberos5 credentials cache name
Schreibzugriff:	Write access:	Syntax:
beschreibbar	read-write	Writeable
schreibgeschützt	read-only	(write protected)
Freigabe einhängen	Mount Share	free
Füge diese Freigabe den Lesezeichen hinzu	Add this share to the bookmarks	Assign '%1 'to & This Item
Das Format der Freigabe, die Sie eingegeben haben, ist nicht korrekt. Es muss die Form //RECHNER/FREIGABE haben.	The format of the share you entered is not correct. It must have the form / /HOST/ SHARE.	The filter chain is wrong. The output format of at least one filter is not supported by its follower. See Filters tab for more information.
Synchronisation	Synchronization	Synchronization
Synchronisieren	Synchronize	Synchronizing
Synchronisiere das Zielverzeichnis mit dem Quellverzeichnis	Synchronize the destination with the source	Synchronize Directories
Pfade vertauschen	Swap Paths	Byte Swap
Vertausche Quell- und Zielverzeichnis	Swap source and destination	Swap & Byte Order
Übertragene Dateien:	Files transferred:	Uploading file:
Übertragungsrate:	Transfer rate:	Bit rate:
Arbeitsgruppe	Workgroup	Workgroup:
Anmeldename	Login	Account Name
Systemabschnitt	System Tray	System
Hauptfenster & Systemabschnitt	Main Window & System Tray	& Main Toolbar
Entfernte Freigaben	Remote Shares	free
Tooltips	Tooltips	Tooltips
Netzwerkumgebung	Network Neighborhood	Networking
Einstellungen für die Listenansicht:	Settings for the list view:	List View Settings
Eingehängte Freigaben	Mounted Shares	free
Versteckte Dateien & & Verzeichnisse	Hidden Files & & Directories	All & files
Vorschaudialog	Preview Dialog	captionDialog
Browseliste	Browse List	Browse list
Passwortspeicherung	Password Storage	Password Protection
Standardanmeldung	Default Login	Standard File
Dieser Benutzername wird standardmäßig für die Anmeldung bei einem entfernten Server benutzt.	This username is used by default to authenticate to a remote server.	Username for login
Dieses Passwort wird standardmäßig für die Anmeldung bei einem entfernten Server benutzt. Es darf leer sein.	This password is used by default to authenticate to a remote server. It may be empty.	Authentication failed. Most likely the password is wrong. The server responded: %1
Einhängen & & Aushängen	Mounting & & Unmounting	Attach & inline
Checks	Checks	Check
Einträge löschen	Remove Entries	Remove entry
Entferne die Einträge aus der Konfigurationsdatei	Remove entries from the configuration file	Remove Entry
Abhängig von Ihrer Wahl unter„ Programme“ werden alle Einträge entweder aus der Datei /etc/super.tab oder /etc/sudoers entfernt, die von Smb4K geschrieben wurden. Zusätzlich wird Ihre Auswahl unter„ Aktionen“ gelöscht.	"Depending on your choice under ""Programs"", all entries that were written by Smb4K will be removed either from / etc/ super. tab or / etc/ sudoers. Additionally, all your choices under ""Actions"" will be cleared."	Discard / Cannot be deleted / Remove This will do different actions, depending on if it was supplied with your system or created by you. You can only discard changes to system wide actions, if there are no changes then these actions cannot be deleted. User created actions are completely removed, including all changes.
Standardzielverzeichnis	Default Destination	Standard Mailing List
Zugriffsrechte, etc.	File Permissions, etc.	Access type (public etc.)
Löschen & Übertragen von Dateien	File Deletion & Transfer	& Remove File
Spezielle Filterregeln:	Special filter rules:	Filter limit:
Filterung	Filtering	Filtering
Sicherheitskopien	Backup	Document Protection
Freigaben	& Shares	free
[Netzwerk] Der benutzerdefinierte Masterbrowser ist nicht eingetragen worden.	[Network] The custom master browser has not been entered.	Could Not Launch Browser.
[Netzwerk] Die Broadcastbereiche sind nicht eingetragen worden.	[Network] The broadcast areas have not been entered.	[not configured]
[Freigaben] Das Basisverzeichnis zum Einhängen der Freigaben ist leer.	[Shares] The mount prefix is empty.	(Empty)
[Authentifizierung] Der standardmäßige Benutzername wurde nicht eingetragen.	[Authentication] The default username has not been entered.	Authentication failed (user name=%1)
[Samba] Die Dateimaske ist leer.	[Samba] The file mask is empty.	[plixed] Okke Timm okke. timm@web. de
[Samba] Die Verzeichnismaske ist leer.	[Samba] The directory mask is empty.	Wir [besitzen] einen [Computer]
[Synchronisation] Das Basisverzeichnis für rsync ist leer.	[Synchronization] The rsync prefix is empty.	[General] CheckSycoca=false
[Synchronisation] Das Verzeichnis, in dem teilweise übertragene Dateien abgelegt werden sollen, ist leer.	[Synchronization] The directory where partially transferred files should be stored is empty.	Transfer of the following files has been aborted because there is not enough free space left on '%1 ':
[Synchronisation] Die Ausschlussmuster wurden nicht eingetragen.	[Synchronization] The exclude patterns have not been entered.	[not configured]
[Synchronisation] Der Pfad der Ausschlussdatei ist leer.	[Synchronization] The path of the exclude file is empty.	Output Folder Does Not Exist
[Synchronisation] Die Einschlussmuster wurden nicht eingetragen.	[Synchronization] The include patterns have not been entered.	No Final Mode data found.
[Synchronisation] Der Pfad zur Einschlussdatei ist leer.	[Synchronization] The path of the include file is empty.	[Empty]
[Synchronisation] Das Suffix für die Sicherheitskopien wurde nicht angegeben.	[Synchronization] The backup suffix has not been defined.	No Backup Suffix or Prefix
[Synchronisation] Das Verzeichnis für die Sicherheitskopien ist leer.	[Synchronization] The backup directory is empty.	Password is empty. (WARNING: Insecure)
Entfernte Ports	Remote Ports	Port au Choix
Signierstatus	Signing State	Message Status
Übliche Optionen	Common Options	Options
Wähle einen anderen Benutzer	Choose a different user	Other Users
Wähle eine andere Gruppe	Choose a different group	Group Selection
Wenn Sie Probleme aufgrund von unzureichenden Rechten beim Einhängen der Freigaben haben, dann sollten Sie die entsprechenden Einstellungen auf der Administrator Konfigurationsseite aktivieren.	If you experience problems due to insufficient privileges when mounting shares, you should enable the appropriate settings in the Super User configuration page.	There are some issues in your configuration. Please check the Capabilities page for more details.
Einhängen	& Mount	Binding
net	net	NET
smbclient	smbclient	SMB Browser
nmblookup	nmblookup	nbCountries
smbtree	smbtree	smb: / /
Klientenprogramme	Client Programs	Clients
Kerberos	Kerberos	Kerrobert
Der erweiterte Browser für die Netzwerkumgebung unter KDE.	The advanced network neighborhood browser for KDE.	KDE File Manager & Web Browser
(c) 2003-2008, Alexander Reinholdt (c) 2004-2007, Massimo Callegari (c) 2004, Franck Babin	\\u00A9 2003-2009 Alexander Reinholdt \\u00A9 2004-2007 Massimo Callegari	Copyright (c) 2004 -2007, Massimo Callegari massimocallegari@yahoo. it
Smb4K	Smb4K	$smb4k &
Alexander Reinholdt	Alexander Reinholdt	Alexander Reinholdt dustpuppy@users. berlios. de
Massimo Callegari	Massimo Callegari	Massimo Callegari massimocallegari@yahoo. it
Smb4K benutzt nun ein anderes Konfigurationssystem. Aus diesem Grund sind Ihre alten Einstellungen überholt und Sie müssen das Programm neu konfigurieren. Um einen einwandfreien Übergang zu gewährleisten, wird die momentane Konfigurationsdatei nun entfernt.	Smb4K now uses a different configuration system. Thus, your old settings are obsolete and you have to reconfigure the application. To ensure a clean transition, the current configuration file will be removed.	Configure & smb4k;...
Die Unterstützung für das Programm‚ super‘ wurde entfernt. Sie müssen Smb4K neu konfigurieren.	Support for the program'super 'has been terminated. You have to reconfigure Smb4K.	Configure & smb4k;...
Benutzt	Used	Use
Aushängen	& Unmount	Expunge
Aushängen erzwingen	& Force Unmounting	Expunge
Alle aushängen	Unmount All	Undo All
Öffnen mit Konsole	Open with Konsole	Konsole Integration
Öffnen mit Dateimanager	Open with File Manager	File Open File Manager
Smb4KSharesViewPart	Smb4KSharesViewPart	$smb4k &
Der Freigabenanzeige-KPart von Smb4K	The shares view KPart of Smb4K	$. / smb4k --nofork
(c) 2007-2008, Alexander Reinholdt	\\u00A9 2007-2009, Alexander Reinholdt	(C) 2007-2008, Valentin Rusu
Hänge Freigabe ein...	Mounting %1 failed.	Loading skrooge...
Hänge Freigabe aus...	Unmounting %1 failed.	Revoke Key...
Einhängepunkt:	Mount point:	Point at:
Anmeldename:	Login:	Rolename:
Frei:	Free:	free
Benutzt:	Used:	Usage:
Verwendung:	Usage:	Usage:
Diese Freigabe ist unzugänglich.	This share is inaccessible.	This file can not be found.
Freigabenanzeige	Shares View	free
Der Netzwerkbrowser konnte nicht erstellt werden.	The network browser could not be created.	Could Not Launch Browser.
Der Suchdialog konnte nicht erstellt werden.	The search dialog could not be created.	Unable to create dialog.
Die Freigabenanzeige konnte nicht erstellt werden.	"The path to the program ""smb4k_umount"""	Unable to publish the free/ busy data.
Wenn Sie das Hauptfenster schließen, wird Smb4K im Systemabschnitt weiterlaufen. Benutzen Sie‚ Beenden‘ im Menü‚ Datei‘, um die Anwendung zu verlassen.	Closing the main window will keep Smb4K running in the system tray. Use'Quit 'from the'File' menu to quit the application.	Closing the main window will keep Amarok running in the System Tray. Use Quit from the menu, or the Amarok tray icon to exit the application.
Digitale Brieftasche wird benutzt	Wallet is in use.	Wir besitzen einen Computer
Digitale Brieftasche wird nicht benutzt	Wallet is not in use.	Wir besitzen einen Computer
Suche nach Arbeitsgruppen und Domänen...	Looking for more information about host %1...	kusi _AT forum dot titlis _dot org
Sende Datei zum Drucker...	Sending file to printer %1...	Edit Send File...
Synchronisiere Daten...	Synchronizing %1	Data Consolidate...
Erzeuge Vorschau...	Retrieving preview from %1...	Generating Preview...
Die Suche war ergebnislos.	The search returned no results.	No results found.
Smb4KSearchDialogPart	Smb4KSearchDialogPart	$smb4k &
Der Suchdialog-KPart von Smb4K	The search dialog KPart of Smb4K	KDE 4 KPart Application
Suchbegriff:	Search item:	Search terms:
Geben Sie den Suchbegriff hier ein.	Enter the search string here.	Enter search phrase here
Von Hand einhängen	Mount Manually	Share Grip Handle
Netzwerk durchsuchen	"The path to the program ""konsole"" (optional)"	Network Search
Datei & drucken	& Print File	Print & charts
Smb4KNetworkBrowserPart	Smb4KNetworkBrowserPart	SMB Browser
Der Netzwerkbrowser-KPart von Smb4K	The network browser KPart of Smb4K	SMB Browser
& Rechner durchsuchen	Scan Computer	& Scan Files
Arbeitsgruppe durchsuchen	Scan Workgroup	Group to look in
Pseudo-Masterbrowser:	Pseudo master browser:	Use & custom web browser:
Masterbrowser:	Master browser:	& Master document:
Serverkennung:	Server string:	Server signing:
Eingehängt:	Mounted:	Attached:
Zeige die benutzerdefinierte Lesezeichenbeschriftung an, falls vorhanden	Show custom bookmark label if available	Show static word wrap marker (if applicable)
Zeige nicht den Namen der Freigabe an, die durch das Lesezeichen repräsentiert wird, sondern die benutzerdefinierte Beschriftung, die im Lesezeicheneditor definiert wurde.	Do not show the name of the share that is represented by the bookmark but the custom label that was defined in the bookmark editor.	Notice the %f after the name of the editor: this is a variable for the filename of the article you want to edit; do not delete this & mdash; you will get an error message when opening the external editor if you do.
Bette die Anwendung in den Systemabschnitt ein	Embed application into the system tray	Wir [besitzen] einen Computer
Bette die Anwendung in den Systemabschnitt ein. Das in den Systemabschnitt eingebettete Fenster bietet ein Aufklappmenü mit einigen oft benutzten Einträgen, so dass Sie nicht jedes Mal das Hauptfenster anzeigen lassen müssen. Falls diese Einstellung ausgewählt ist, müssen Sie den Eintrag„ Schließen“ aus dem Menü„ Datei“ oder aus dem Systemabschnittsfenster benutzen, um die Anwendung zu verlassen.	"Embed the application into the system tray. The system tray widget provides a popup menu with several commonly used tasks, so you do not need to bring up the main window every time. If this setting is chosen, you have to use ""Quit"" from the ""File"" menu or the system tray widget to exit the application."	Closing the main window will keep KFTPGrabber running in the system tray. Use Quit from the KFTPGrabber menu to quit the application.
Starte angedockt	Start docked	Start Akonadi
Die Anwendung wird angedockt an den Systemabschnitt gestartet, das heißt, nur das Fenster im Systemabschnitt wird angezeigt und das Hauptfenster bleibt geschlossen. Sie können das Hauptfenster hervorbringen, indem Sie auf das Fenster im Systemabschnitt klicken oder„ Wiederherstellen“ aus seinem Aufklappmenü verwenden.	"Start the application docked to the system tray, i. e. only the system tray widget is shown and the main window is hidden. You can bring the main window up by clicking on the system tray widget or by choosing ""Restore"" from its popup menu."	The view on the right which takes up most of the area of the & kontact; main window shows the active component. This exactly corresponds to the main window the component uses when run as a stand-alone application. The highlighted icon in the side pane indicates to which application the main view belongs. & kontact; remembers which component was active, so when starting & kontact; the view initially shows which one was activated when exiting & kontact; the last time.
Zeige die eingehängten Freigaben in einer Symbolansicht an	Show mounted shares in an icon view	Symbol Viewer Configuration Page
Die eingehängten Freigaben werden in einer Symbolansicht angezeigt.	The mounted shares will be displayed in an icon view.	Symbol Viewer Configuration Page
Zeige die eingehängten Freigaben in einer Listenansicht an	Show mounted shares in a list view	Open Message in List Archive
Die eingehängten Freigaben werden in einer Listenansicht angezeigt.	The mounted shares will be displayed in a list view.	As results are found, they are added to this list. Selecting one will fetch the complete entry and show it in the view below.
Zeige Drucker-Freigaben an	Show printer shares	Send To Printer
Druckerfreigaben werden im Netzwerkbrowser angezeigt.	Printer shares will be displayed in the network browser.	Network Printer Information
Zeige versteckte Freigaben an	Show hidden shares	& Stas. Verberkt;
Versteckte Freigaben werden im Netzwerkbrowser angezeigt. Versteckte Freigaben enden mit einem $-Zeichen (z.B. Musik$ oder IPC$).	Hidden shares will be displayed in the network browser. Hidden shares are ending with a $sign, e. g. Musik$ or IPC$.	[Desktop Entry] Encoding=UTF-8 GenericName=IRC Client GenericName[af]=Irc Klieuml; t GenericName[de]=IRC Programm... GenericName[zu]=Umthengi we IRC SwallowExec= Name=KSirc Name[af]=Ksirc Name[de]=KSirc...
Zeige versteckte IPC$ Freigaben an	Show hidden IPC$ shares	mutlaqja AT ikarustech DOT com
Versteckte IPC$ Freigaben werden im Netzwerkbrowser angezeigt.	Hidden IPC$ shares will be displayed in the network browser.	[Desktop Entry] Encoding=UTF-8 GenericName=IRC Client GenericName[af]=Irc Klieuml; t GenericName[de]=IRC Programm... GenericName[zu]=Umthengi we IRC SwallowExec= Name=KSirc Name[af]=Ksirc Name[de]=KSirc...
Zeige versteckte ADMIN$ Freigaben an	Show hidden ADMIN$ shares	QEdje Applet Config
Versteckte ADMIN$ Freigaben werden im Netzwerkbrowser angezeigt.	Hidden ADMIN$ shares will be displayed in the network browser.	$HOME /. kde
Zeige den Typ der Freigabe an	Show the type of the share	File Tip Info
Der Typ einer Freigabe wird in einer separaten Spalte im Netzwerkbrowser angezeigt. Er kann entweder„ Disk“ ,„ Print“ oder„ IPC“ sein.	The type of a share will be displayed in a separate column in the network browser. It can either be Disk, Print or IPC.	[Desktop Entry] Encoding=UTF-8 GenericName=IRC Client GenericName[af]=Irc Klieuml; t GenericName[de]=IRC Programm... GenericName[zu]=Umthengi we IRC SwallowExec= Name=KSirc Name[af]=Ksirc Name[de]=KSirc...
Zeige die IP-Adresse des Servers an	Show the IP address of the server	Server Info
Die IP-Adresse des Servers wird in einer separaten Spalte im Netzwerkbrowser angezeigt.	The IP address of the server will be displayed in a separate column in the network browser.	IP-Address
Zeige den Kommentar an	Show the login	Add Comment
Der Kommentar, der den Server oder die Freigabe beschreibt, wird in einer separaten Spalte im Netzwerkbrowser angezeigt.	The comment describing the server or share will be displayed in a separate column in the network browser.	commentnbsp; nbsp; nbsp; nbsp; (A freeform comment about the debugger current session)
Zeige einen Tooltip mit Informationen über den Netzwerkeintrag an	Show a tooltip with information about the network item	Tooltip:
Der Tooltip zeigt verschiedene Informationen über den aktuellen Netzwerkeintrag an.	The tooltip shows various information about the current network item.	Tooltip:
Zeige den Einhängepunkt anstelle des Freigabenamens an	Show the mount point instead of the share name	Cies Breijs cies AT kde DOT nl
Eine Freigabe wird normalerweise mit ihrem Namen in der Freigabenanzeige dargestellt. Die Wahl dieser Einstellung veranlasst den Austausch des Namens der Freigabe durch den Einhängepunkt.	A share is normally displayed with its name in the shares view. Choosing this feature will cause the exchange of the share name by the mount point.	name sets the name of the language. It appears in the menus and dialogs afterwards.
Zeige alle Freigaben an, die auf dem System eingehängt sind	Show all shares that are mounted on the system	Show All Files
Sie werden nicht nur die Freigaben sehen, die von Ihnen eingehängt wurden und zu Ihnen gehören, sondern auch alle anderen, die das SMBFS oder CIFS Dateisystem haben und auf Ihrem System eingehängt sind.	You will not only see the shares that were mounted and are owned by you, but also all other mounts using the SMBFS and CIFS file system that are present on the system.	Here you see which Samba- and NFS -shares from other hosts are mounted on your local system. The first column shows whether it is a Samba- or NFS -share, the second column displays the name of the share, and the third shows where it is mounted.
Zeige einen Tooltip mit Informationen über die Freigabe an	Show a tooltip with information about the share	Show tooltips
Der Tooltip zeigt verschiedene Informationen über die aktuelle Freigabe an.	The tooltip shows various information about the current share.	Tooltip:
Zeige den Eigentümer und die Gruppe an	Show the owner and group	Show owner information
Zeige die UID und GID an, die alle Dateien auf dem eingehängten Dateisystem besitzen.	Show the UID and GID that own all files on the mounted file system.	All folder IDs on the server
Zeige den Anmeldenamen an, der für die Authentifizierung gegenüber dem Server benutzt wurde. Diese Spalte besitzt nur einen Eintrag, wenn die Freigabe mit dem CIFS Dateisystem eingehängt wurde.	Show the login that was used to authenticate to the server. The column will only contain an entry if the share was mounted with the CIFS file system.	Enter the URL for the server on which your Free/ Busy information shall be published here. Ask the server administrator for this information.
Zeige das Dateisystem an	Show the file system	Show Filename
Zeige das Dateisystem an, das für das Einhängen der Freigabe benutzt wurde.	Show the file system that was used for mounting the share.	Show information about supported file systems.
Zeige den freien Speicherplatz an	Show the free disk space	Free Disk Space Check
Zeige den auf der Freigabe freien Speicherplatz an.	Show the free disk space that is left on the share.	Free Disk Space Check
Zeige den verwendeten Speicherplatz an	Show the used disk space	Show Filename
Zeige den auf der Freigabe bereits verwendeten Speicherplatz an.	Show the disk space that is already used on the share.	Free Disk Space Check
Zeige den gesamten Speicherplatz an	Show the total disk space	Show All Files
Zeige den gesamten Speicherplatz der Freigabe an.	Show the total disk space of the share.	Show All Files
Zeige die Speicherverwendung an	Show the disk usage	Show Filename
Zeige den auf der Freigabe verwendeten Speicherplatz in Prozent an.	Show the space that is used on the share (as a percentage.)	%1 Hard Drive
Zeige versteckte Dateien und Verzeichnisse in der Vorschau an	Preview hidden files and directories	Show & hidden files
Zeige versteckte Dateien und Verzeichnisse im Vorschaudialog an. Die Namen von versteckten Dateien oder Verzeichnissen beginnen mit einem Punkt und werden meistens für spezielle Aufgaben benötigt (Konfigurationsdatei einer Anwendung, etc.). Da sie von keiner Bedeutung für Ihre alltägliche Arbeit sind, brauchen sie diese Einstellung normalerweise nicht einzuschalten.	Display hidden files and directories in the preview dialog. The hidden files and directories are those whose names begin with a period. They are usually needed for very specific purposes (storing the configuration information for an application, etc.). Since they are not of any importance for your regular work, you normally do not need to enable this feature.	Unknown tag %1, while reading configuration file. Expected one of: Options, Drawings
Durchsuche die Netzwerkumgebung nach Arbeitsgruppen und Domänen	Scan the network neighborhood for available workgroups and domains	Enter here the name of your workgroup/ domain.
Dies ist die Standardmethode, um die anfängliche Browseliste zu erstellen. Sie entdeckt alle Arbeitsgruppen und Domänen durch die Suche nach allen bekannten Masterbrowsern in Ihrer Netwerkumgebung.	This is the default method to retrieve the initial browse list. It discovers all workgroups and domains by looking for all known master browsers on your network neighborhood.	Clicking with the & RMB; on any browser title shows up a list of visible browsers. You can use this list to disable/ re-enable any browsers available.
Frage den derzeitigen Masterbrowser der Arbeitsgruppe ab	Query the current workgroup master browser	Wir [besitzen einen] Computer
Diese Methode fragt den derzeitigen Masterbrowser Ihrer Arbeitsgruppe oder Domäne ab, um die anfängliche Browseliste zu erstellen.	This method queries the current master browser of your workgroup or domain to retrieve the initial browse list.	Once you are done generating your images, you may want to check whether they are really available to your audience. If you specify a URL in the Base URL line edit, a web browser will be spawned once HTML pages has been generated. The URL you specify here should match the directory you specified above. Thus the web browser will be started on the subdirectories of this URL.
Frage diesen Masterbrowser ab:	Query this custom master browser:	& Master document:
Diese Methode fragt den vom Benutzer definierten Masterbrowser ab, um die anfängliche Browseliste zu erstellen.	This method queries a custom master browser to retrieve the initial browse list.	Clicking with the & RMB; on any browser title shows up a list of visible browsers. You can use this list to disable/ re-enable any browsers available.
